producto,precio,"precio * 1.05"
"iPhone 15 128GB Negro",1699999.00,1784998.9500
"iPhone 15 Pro 256GB Titanio",2299999.00,2414998.9500
"MacBook Air M2 8GB 256GB",2499999.00,2624998.9500
"MacBook Pro M3 16GB 512GB",3899999.00,4094998.9500
"iPad Air 11" M2 64GB WiFi",1299999.00,1364998.9500
"Apple Watch Series 9 45mm",899999.00,944998.9500
"AirPods Pro 2da Generación",649999.00,682498.9500
"Samsung Galaxy S24 256GB",1499999.00,1574998.9500
"Samsung Galaxy Tab S9 128GB",999999.00,1049998.9500
"Samsung Smart TV 55" QLED 4K",1199999.00,1259998.9500
"Sony WH-1000XM5",699999.00,734998.9500
"Sony WF-1000XM5",499999.00,524998.9500
"Sony Bravia XR 65" OLED 4K",2799999.00,2939998.9500
"LG OLED 55" C3 4K",2199999.00,2309998.9500
"LG Monitor 27" UltraFine 4K",749999.00,787498.9500
"Philips Hue Starter Kit",299999.00,314998.9500
"JBL Charge 5",299999.00,314998.9500
"JBL Flip 6",189999.00,199498.9500
"JBL Tune 770NC",249999.00,262498.9500
"Bose QuietComfort 45",649999.00,682498.9500
"Bose SoundLink Flex",349999.00,367498.9500
"Xiaomi Redmi Note 13 128GB",429999.00,451498.9500
"Xiaomi Mi Band 8",89999.00,94498.9500
"Motorola Edge 40 256GB",699999.00,734998.9500
"Motorola Moto G84 256GB",379999.00,398998.9500
"HP Victus 15 Ryzen 5 16GB 512GB",1199999.00,1259998.9500
"HP LaserJet Pro M404dn",599999.00,629998.9500
"Dell XPS 15 i7 32GB 1TB",3299999.00,3464998.9500
"Dell Monitor S2722QC 27" 4K",549999.00,577498.9500
"Lenovo IdeaPad 5 i5 8GB 512GB",899999.00,944998.9500
"Lenovo Tab P12 256GB",749999.00,787498.9500
"Asus ROG Zephyrus G14 RTX 4060",2899999.00,3044998.9500
"Asus ProArt PA279CRV 27" 4K",899999.00,944998.9500
"Logitech MX Master 3S",199999.00,209998.9500
"Logitech MX Keys S",249999.00,262498.9500
"Logitech G Pro X Superlight 2",299999.00,314998.9500
"Anker PowerCore 26800mAh",149999.00,157498.9500
"Anker Cable USB-C a Lightning MFi 1m",29999.00,31498.9500
"Anker 737 Cargador 120W GaN",129999.00,136498.9500
"Sennheiser HD 560S",449999.00,472498.9500
"Sennheiser Momentum 4 Wireless",699999.00,734998.9500
"Pioneer DJ DDJ-400",699999.00,734998.9500
"Pioneer Stereo A-10",599999.00,629998.9500
"Harman Kardon Onyx Studio 8",549999.00,577498.9500
"Marshall Emberton III",299999.00,314998.9500
"Marshall Acton III",799999.00,839998.9500
"Epson EcoTank L3250",349999.00,367498.9500
"Epson EF-21 Mini Proyector",699999.00,734998.9500
"Apple Magic Keyboard Touch ID ES",299999.00,314998.9500
"Apple MagSafe Charger 2m",79999.00,83998.9500
